sepal_length,sepal_width,petal_length,petal_width,species,setosa,versicolor,virginica
5.5,2.5,4.0,1.3,versicolor,0.0078,0.9716,0.0207
6.9,3.1,5.1,2.3,virginica,0.013,0.0169,0.9701
5.1,2.5,3.0,1.1,versicolor,0.0329,0.9536,0.0135
4.4,2.9,,0.2,setosa,0.5444,0.3664,0.0892
5.9,3.0,5.1,1.8,virginica,0.0126,0.2173,0.7701
5.5,3.5,1.3,0.2,setosa,0.9612,0.0228,0.016
5.6,,3.6,1.3,versicolor,0.0366,0.954,0.0094
6.5,3.0,5.2,2.0,virginica,0.0093,0.0301,0.9606
5.3,3.7,1.5,0.2,setosa,0.9675,0.0186,0.0139
5.1,3.4,1.5,,setosa,0.7752,0.1664,0.0584
6.1,2.8,4.0,1.3,versicolor,0.0123,0.9815,0.0062
5.5,2.4,3.7,1.0,versicolor,0.0129,0.9805,0.0066
7.7,3.0,6.1,2.3,virginica,0.0218,0.0221,0.9561
6.9,3.1,4.9,1.5,versicolor,0.0192,0.7379,0.2429
6.0,2.2,5.0,1.5,versicolor,0.0209,0.5348,0.4443
